corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.3134118914604187,,1,1.5001320838928223,,1,0.8769955039024353,,1
zero,0,0.1,0.2923663059870402,0.0005712219779749125,3,1.4581546386082966,0.0025977841620558957,3,0.8620125452677408,0.0005913092606358769,3
zero,0,0.25,0.26491084694862366,0.0008017867176310773,3,1.402109980583191,0.0013570562317357017,3,0.8423730532328287,0.00040479459789779083,3
zero,0,0.5,0.22814700504144034,0.0011579741316695292,3,1.3419392506281536,0.005482236834037471,3,0.8194788297017416,0.0013871616977828194,3
zero,32,0.1,0.28713656465212506,0.008595237765987813,3,1.472577969233195,0.02500771570401381,3,0.8676718473434448,0.007111415245493153,3
zero,32,0.25,0.24343820909659067,0.005155343076672108,3,1.4403095642725627,0.019034990288958872,3,0.8548509875933329,0.0056837043417667385,3
zero,32,0.5,0.19907190899054208,0.00423889454925393,3,1.4022048711776733,0.009251193127326668,3,0.8409554958343506,0.002175025635984302,3
zero,64,0.1,0.2863025863965352,0.006915389897687596,3,1.4748152494430542,0.019852974078757794,3,0.8682482639948527,0.006435750385400957,3
zero,64,0.25,0.25526448090871173,0.003103154948661403,3,1.4415414730707805,0.02512622801734718,3,0.8557125926017761,0.0071935340135223,3
zero,64,0.5,0.19449642797311148,0.0018762484882754093,3,1.414678732554118,0.01015492317820591,3,0.8435496091842651,0.004618831257019191,3
zero,96,0.1,0.2810228168964386,0.005944533668316471,3,1.4841014544169109,0.00303174438661069,3,0.8708245158195496,0.0011006837723567004,3
zero,96,0.25,0.25028498470783234,0.003412236098740365,3,1.4259320497512817,0.030854988423960335,3,0.8511796196301779,0.00930353907415045,3
zero,96,0.5,0.19404131174087524,0.009794104017470816,3,1.4177721738815308,0.033859972884957706,3,0.8474564750989279,0.009688572236200822,3
zero,128,0.1,0.28268349170684814,0.005703558750681384,3,1.4641214609146118,0.024549380497109398,3,0.8636127511660258,0.005586875275282897,3
zero,128,0.25,0.24681817988554636,0.009904200079916079,3,1.4427253405253093,0.018280611404770115,3,0.855381965637207,0.002061130273644833,3
zero,128,0.5,0.19392554958661398,0.004671596657754245,3,1.4223687251408894,0.031032446186480142,3,0.844655454158783,0.0107805297027611,3
