corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.03990519791841507,0.14146726616811,15,0.6831899911165238,0.4539591165411834,15,0.5376960108677546,0.1997760621204977,15
zero,0,0.1,0.049199685288800137,0.12626431013564457,45,0.7031098971764247,0.4464086757945251,45,0.5419591281149122,0.19683585376610607,45
zero,0,0.25,0.06155581556571026,0.11685249600928103,45,0.7282819019423591,0.4479204283203339,45,0.5462444474299749,0.19951837254640395,45
zero,0,0.5,0.06383659762230107,0.1035008296277108,45,0.7485935797293981,0.4458296149100145,45,0.5511276678906547,0.19978058249742853,45
zero,32,0.1,0.03301014949878057,0.11903420225546733,45,0.6986853457159466,0.44366576039233097,45,0.5420484519667096,0.1957594523462216,45
zero,32,0.25,0.03411850554661618,0.09932922053037027,45,0.7149706820646922,0.44102571152889514,45,0.5472737795776791,0.1948127403538699,45
zero,32,0.5,0.03184173013497558,0.07929649406109066,45,0.7192440768082936,0.42859611040099355,45,0.5536249617735545,0.1895953017102213,45
zero,64,0.1,0.03176856692880392,0.11481574173874459,45,0.6928909030225542,0.4405758640054414,45,0.5415791766511069,0.1942167716852098,45
zero,64,0.25,0.03250888178331984,0.09339601106371834,45,0.6985941963063346,0.4366700959619906,45,0.5461987800068325,0.19241306098390568,45
zero,64,0.5,0.025351950536585517,0.07707223492146784,45,0.6986921846866607,0.4161176551840784,45,0.5526994241608514,0.18410974933654392,45
zero,96,0.1,0.03784848149710645,0.09667930989749068,45,0.6866318596733941,0.43642949550355487,45,0.5407700916131337,0.19218323818926433,45
zero,96,0.25,0.03864588686523752,0.08847241701220676,45,0.6865829908185535,0.4248963014025092,45,0.5444612205028534,0.18815133005149456,45
zero,96,0.5,0.020230632860006557,0.07065867360734143,45,0.6823342111375597,0.40257709488550053,45,0.5517258769936032,0.17911456259694836,45
zero,128,0.1,0.0331847141807278,0.11276725545994844,45,0.6881184836228689,0.437693151880459,45,0.5422282291783227,0.19278051386820166,45
zero,128,0.25,0.03218241447789801,0.09399947838251585,45,0.6863426284657584,0.42480079642599655,45,0.5447590635882483,0.18855182664329065,45
zero,128,0.5,0.033896137184153,0.06569726139036343,45,0.668888673848576,0.3937768105080068,45,0.549308799372779,0.1762984611741079,45
