slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
ZEN40,none,0,0.0,-1,0.2083408534526825,0.3076951801776886,0.4064309597015381
ZEN40,zero,0,0.1,0,0.18269315361976624,0.3054651618003845,0.3983200490474701
ZEN40,zero,0,0.1,1,0.19667674601078033,0.3030649721622467,0.3965654671192169
ZEN40,zero,0,0.1,2,0.20428939163684845,0.3010719120502472,0.3958928883075714
ZEN40,zero,0,0.25,0,0.16227956116199493,0.30404362082481384,0.3883512318134308
ZEN40,zero,0,0.25,1,0.1725900024175644,0.3040594756603241,0.3879561722278595
ZEN40,zero,0,0.25,2,0.17746132612228394,0.3031340539455414,0.3868516981601715
ZEN40,zero,0,0.5,0,0.1437252163887024,0.30927175283432007,0.37744662165641785
ZEN40,zero,0,0.5,1,0.14666995406150818,0.3058687448501587,0.3743196427822113
ZEN40,zero,0,0.5,2,0.1596771776676178,0.3045468032360077,0.3753136992454529
ZEN40,zero,32,0.1,0,0.1880330890417099,0.3068678081035614,0.40092843770980835
ZEN40,zero,32,0.1,1,0.19675178825855255,0.3058711886405945,0.39882954955101013
ZEN40,zero,32,0.1,2,0.1687459498643875,0.3089083433151245,0.401998907327652
ZEN40,zero,32,0.25,0,0.13860046863555908,0.3114522099494934,0.39600446820259094
ZEN40,zero,32,0.25,1,0.15701857209205627,0.31529712677001953,0.3984090983867645
ZEN40,zero,32,0.25,2,0.16151632368564606,0.31573760509490967,0.3991486728191376
ZEN40,zero,32,0.5,0,0.1583084613084793,0.3103531301021576,0.38463568687438965
ZEN40,zero,32,0.5,1,0.1332225650548935,0.3171789050102234,0.38953283429145813
ZEN40,zero,32,0.5,2,0.14027747511863708,0.3198593854904175,0.39131638407707214
ZEN40,zero,64,0.1,0,0.17080198228359222,0.3109043836593628,0.40247535705566406
ZEN40,zero,64,0.1,1,0.16551929712295532,0.3076103925704956,0.4011693000793457
ZEN40,zero,64,0.1,2,0.19951432943344116,0.3055116534233093,0.3991359770298004
ZEN40,zero,64,0.25,0,0.05477879196405411,0.32971692085266113,0.40451696515083313
ZEN40,zero,64,0.25,1,0.07480990141630173,0.32782068848609924,0.40329709649086
ZEN40,zero,64,0.25,2,0.16054564714431763,0.30965501070022583,0.39503738284111023
ZEN40,zero,64,0.5,0,0.15670393407344818,0.3127588927745819,0.38702306151390076
ZEN40,zero,64,0.5,1,0.18331791460514069,0.3157963156700134,0.3899685740470886
ZEN40,zero,64,0.5,2,0.10819780081510544,0.32523050904273987,0.39329737424850464
ZEN40,zero,96,0.1,0,0.17592939734458923,0.30548548698425293,0.39835816621780396
ZEN40,zero,96,0.1,1,0.1562260538339615,0.31196704506874084,0.4016593396663666
ZEN40,zero,96,0.1,2,0.1696184277534485,0.3109869062900543,0.4031303822994232
ZEN40,zero,96,0.25,0,0.16908453404903412,0.3073846101760864,0.3929184675216675
ZEN40,zero,96,0.25,1,0.11526042222976685,0.32195693254470825,0.40144649147987366
ZEN40,zero,96,0.25,2,0.17111964523792267,0.3084560036659241,0.393681138753891
ZEN40,zero,96,0.5,0,0.14386950433254242,0.32014942169189453,0.39235419034957886
ZEN40,zero,96,0.5,1,0.10675057768821716,0.33360520005226135,0.39933091402053833
ZEN40,zero,96,0.5,2,0.16811113059520721,0.31521540880203247,0.3876948654651642
ZEN40,zero,128,0.1,0,0.18993303179740906,0.31182682514190674,0.4040023386478424
ZEN40,zero,128,0.1,1,0.16448070108890533,0.3115752041339874,0.4026598334312439
ZEN40,zero,128,0.1,2,0.1741616576910019,0.31006935238838196,0.4030929505825043
ZEN40,zero,128,0.25,0,0.13771672546863556,0.3175479471683502,0.39917701482772827
ZEN40,zero,128,0.25,1,0.1367514282464981,0.3173469007015228,0.3997332751750946
ZEN40,zero,128,0.25,2,0.16739888489246368,0.3090040981769562,0.3945765793323517
ZEN40,zero,128,0.5,0,0.11529874056577682,0.32964178919792175,0.39759349822998047
ZEN40,zero,128,0.5,1,0.03753957152366638,0.3369826078414917,0.39650529623031616
ZEN40,zero,128,0.5,2,0.10588564723730087,0.324751615524292,0.395749568939209
ZEN36,none,0,0.0,-1,0.28751376271247864,0.4730710983276367,0.4772384464740753
ZEN36,zero,0,0.1,0,0.27187734842300415,0.48571255803108215,0.47920095920562744
ZEN36,zero,0,0.1,1,0.2689477801322937,0.48622432351112366,0.47883957624435425
ZEN36,zero,0,0.1,2,0.2668588161468506,0.4876776337623596,0.4789324402809143
ZEN36,zero,0,0.25,0,0.22416770458221436,0.5129373073577881,0.4834231436252594
ZEN36,zero,0,0.25,1,0.22902214527130127,0.5128195881843567,0.48382118344306946
ZEN36,zero,0,0.25,2,0.23368290066719055,0.5116981863975525,0.48342105746269226
ZEN36,zero,0,0.5,0,0.1574222296476364,0.5636645555496216,0.49314582347869873
ZEN36,zero,0,0.5,1,0.16769050061702728,0.5638917684555054,0.49412763118743896
ZEN36,zero,0,0.5,2,0.19316452741622925,0.5555382966995239,0.491011381149292
ZEN36,zero,32,0.1,0,0.24505756795406342,0.49383315443992615,0.48326319456100464
ZEN36,zero,32,0.1,1,0.23399052023887634,0.4977402091026306,0.4845673441886902
ZEN36,zero,32,0.1,2,0.269955039024353,0.4852147400379181,0.47963419556617737
ZEN36,zero,32,0.25,0,0.21527056396007538,0.5164687633514404,0.48973509669303894
ZEN36,zero,32,0.25,1,0.22202938795089722,0.5162283778190613,0.4906359016895294
ZEN36,zero,32,0.25,2,0.20563773810863495,0.5188961029052734,0.4912424087524414
ZEN36,zero,32,0.5,0,0.15787988901138306,0.5645719766616821,0.5091541409492493
ZEN36,zero,32,0.5,1,0.14849697053432465,0.5662726163864136,0.5103017091751099
ZEN36,zero,32,0.5,2,0.14444459974765778,0.5636540055274963,0.5095633864402771
ZEN36,zero,64,0.1,0,0.22958658635616302,0.493717759847641,0.4840283989906311
ZEN36,zero,64,0.1,1,0.25940850377082825,0.4882485270500183,0.4836371839046478
ZEN36,zero,64,0.1,2,0.22872693836688995,0.49654361605644226,0.4857500195503235
ZEN36,zero,64,0.25,0,0.22122034430503845,0.5127958059310913,0.49076712131500244
ZEN36,zero,64,0.25,1,0.1870618760585785,0.5183284878730774,0.4933665692806244
ZEN36,zero,64,0.25,2,0.19587433338165283,0.5232877731323242,0.49565526843070984
ZEN36,zero,64,0.5,0,0.18421417474746704,0.5498891472816467,0.5077115297317505
ZEN36,zero,64,0.5,1,0.1737336963415146,0.5591517686843872,0.5094950795173645
ZEN36,zero,64,0.5,2,0.16040271520614624,0.5685825943946838,0.5144515633583069
ZEN36,zero,96,0.1,0,0.2043413668870926,0.506098747253418,0.4883207380771637
ZEN36,zero,96,0.1,1,0.229645773768425,0.4975731372833252,0.48639991879463196
ZEN36,zero,96,0.1,2,0.2646719813346863,0.4852805435657501,0.48097196221351624
ZEN36,zero,96,0.25,0,0.19009700417518616,0.5172095894813538,0.49432241916656494
ZEN36,zero,96,0.25,1,0.21037189662456512,0.5139123201370239,0.49438589811325073
ZEN36,zero,96,0.25,2,0.16120699048042297,0.5373879671096802,0.5011667013168335
ZEN36,zero,96,0.5,0,0.16039331257343292,0.5620583891868591,0.5105351209640503
ZEN36,zero,96,0.5,1,0.13737007975578308,0.5655141472816467,0.5132105946540833
ZEN36,zero,96,0.5,2,0.11852284520864487,0.5659460425376892,0.5127188563346863
ZEN36,zero,128,0.1,0,0.20216108858585358,0.5086489915847778,0.490725576877594
ZEN36,zero,128,0.1,1,0.257002055644989,0.48907026648521423,0.48314186930656433
ZEN36,zero,128,0.1,2,0.22502021491527557,0.5022995471954346,0.48883989453315735
ZEN36,zero,128,0.25,0,0.17671898007392883,0.5224946141242981,0.4946562647819519
ZEN36,zero,128,0.25,1,0.15980923175811768,0.5319891571998596,0.5015621185302734
ZEN36,zero,128,0.25,2,0.22038458287715912,0.518873929977417,0.49287453293800354
ZEN36,zero,128,0.5,0,0.1270749866962433,0.573792576789856,0.514616847038269
ZEN36,zero,128,0.5,1,0.16402719914913177,0.5592565536499023,0.5109405517578125
ZEN36,zero,128,0.5,2,0.12709996104240417,0.5784909129142761,0.5208778381347656
