slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
NCBI684,none,0,0.0,-1,0.2570545971393585,0.3234442472457886,0.32723987102508545
NCBI684,zero,0,0.1,0,0.2355787605047226,0.32501885294914246,0.3241136074066162
NCBI684,zero,0,0.1,1,0.23147228360176086,0.3258490264415741,0.3248317241668701
NCBI684,zero,0,0.1,2,0.2313055396080017,0.3258810341358185,0.32458484172821045
NCBI684,zero,0,0.25,0,0.1949325054883957,0.33444175124168396,0.3244378864765167
NCBI684,zero,0,0.25,1,0.190577432513237,0.33507418632507324,0.32484763860702515
NCBI684,zero,0,0.25,2,0.20149746537208557,0.3331052362918854,0.3237963318824768
NCBI684,zero,0,0.5,0,0.14066876471042633,0.3546413779258728,0.33216407895088196
NCBI684,zero,0,0.5,1,0.1359422355890274,0.3548707664012909,0.3323012888431549
NCBI684,zero,0,0.5,2,0.13418273627758026,0.355008065700531,0.33214306831359863
NCBI684,zero,32,0.1,0,0.2189965844154358,0.3317434787750244,0.3294678330421448
NCBI684,zero,32,0.1,1,0.22445052862167358,0.3316626250743866,0.3302542269229889
NCBI684,zero,32,0.1,2,0.22574152052402496,0.33140385150909424,0.3282869756221771
NCBI684,zero,32,0.25,0,0.2034551501274109,0.3376007676124573,0.3312276601791382
NCBI684,zero,32,0.25,1,0.20199456810951233,0.3409547209739685,0.3339260518550873
NCBI684,zero,32,0.25,2,0.1915276199579239,0.3391607999801636,0.3314567506313324
NCBI684,zero,32,0.5,0,0.14120632410049438,0.35984987020492554,0.33986029028892517
NCBI684,zero,32,0.5,1,0.13784760236740112,0.3580230176448822,0.341420978307724
NCBI684,zero,32,0.5,2,0.15934395790100098,0.3599649965763092,0.3436247706413269
NCBI684,zero,64,0.1,0,0.231317400932312,0.331760436296463,0.3311231732368469
NCBI684,zero,64,0.1,1,0.2192779779434204,0.33071112632751465,0.329569935798645
NCBI684,zero,64,0.1,2,0.24153558909893036,0.32906657457351685,0.330895334482193
NCBI684,zero,64,0.25,0,0.20145529508590698,0.3382168114185333,0.33125826716423035
NCBI684,zero,64,0.25,1,0.20373311638832092,0.34072476625442505,0.33402350544929504
NCBI684,zero,64,0.25,2,0.1906185746192932,0.3460782766342163,0.3357776701450348
NCBI684,zero,64,0.5,0,0.16957078874111176,0.3546394407749176,0.341327428817749
NCBI684,zero,64,0.5,1,0.16232332587242126,0.3558511435985565,0.3402225077152252
NCBI684,zero,64,0.5,2,0.15082769095897675,0.3611138164997101,0.34184959530830383
NCBI684,zero,96,0.1,0,0.23232488334178925,0.328973650932312,0.32924431562423706
NCBI684,zero,96,0.1,1,0.2213456928730011,0.33358097076416016,0.3305732309818268
NCBI684,zero,96,0.1,2,0.22497516870498657,0.3325327932834625,0.33048155903816223
NCBI684,zero,96,0.25,0,0.1570330709218979,0.34850677847862244,0.3367721438407898
NCBI684,zero,96,0.25,1,0.21840456128120422,0.3348280191421509,0.33536285161972046
NCBI684,zero,96,0.25,2,0.18724201619625092,0.33937206864356995,0.33062314987182617
NCBI684,zero,96,0.5,0,0.14330904185771942,0.35884714126586914,0.33926302194595337
NCBI684,zero,96,0.5,1,0.15257076919078827,0.3581697344779968,0.3455706536769867
NCBI684,zero,96,0.5,2,0.1347910463809967,0.362271785736084,0.3406204879283905
NCBI684,zero,128,0.1,0,0.22289131581783295,0.3323439061641693,0.33065295219421387
NCBI684,zero,128,0.1,1,0.21926414966583252,0.33485880494117737,0.33156436681747437
NCBI684,zero,128,0.1,2,0.2039560079574585,0.3331760764122009,0.32597053050994873
NCBI684,zero,128,0.25,0,0.195564404129982,0.3380576968193054,0.33035534620285034
NCBI684,zero,128,0.25,1,0.21444059908390045,0.34267011284828186,0.33813348412513733
NCBI684,zero,128,0.25,2,0.20790940523147583,0.341953307390213,0.3353344202041626
NCBI684,zero,128,0.5,0,0.15806955099105835,0.357923686504364,0.34544917941093445
NCBI684,zero,128,0.5,1,0.1445288360118866,0.3625051975250244,0.34591904282569885
NCBI684,zero,128,0.5,2,0.16566863656044006,0.3576488494873047,0.34507954120635986
