corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.15953727066516876,,1,0.5711556673049927,,1,0.5234733819961548,,1
zero,0,0.1,0.15242746472358704,0.001256825180302185,3,0.5560333331425985,0.0018775487412835735,3,0.5111189285914103,0.0008993912047619006,3
zero,0,0.25,0.14042262236277261,0.0015229593250737678,3,0.5401085615158081,0.0025239798841330337,3,0.4956153432528178,0.0014935395470105947,3
zero,0,0.5,0.1121928592522939,0.0020031057810732914,3,0.5233374635378519,0.0036301835227333015,3,0.4758809606234233,0.001795394761297616,3
zero,32,0.1,0.1450991928577423,0.007427880675976147,3,0.5608817140261332,0.007871098510048214,3,0.5139952500661215,0.004302455325471322,3
zero,32,0.25,0.12515325347582498,0.010988198888900987,3,0.5540363788604736,0.0048390910470186115,3,0.5050787528355917,0.003209187965423027,3
zero,32,0.5,0.10858673850695293,0.006235011478807669,3,0.525887111822764,0.006056440132693777,3,0.48467392722765607,0.003748413676526757,3
zero,64,0.1,0.14580500622590384,0.00441283512647966,3,0.5637038747469584,0.0026862416154970806,3,0.5167344212532043,0.001171183991630628,3
zero,64,0.25,0.12085103740294774,0.005274535568690827,3,0.5404546658198038,0.00908692409236858,3,0.49896658460299176,0.005158019811195048,3
zero,64,0.5,0.10264431933561961,0.015067194964796003,3,0.5297994017601013,0.015312078917971043,3,0.48949338992436725,0.006958180285171839,3
zero,96,0.1,0.13809941212336221,0.006197741724331628,3,0.5598035852114359,0.003673701583912709,3,0.5149734020233154,0.0015495410273933237,3
zero,96,0.25,0.13173502683639526,0.003885741576698215,3,0.5464105010032654,0.014963340113563827,3,0.5044784347216288,0.009932481177389329,3
zero,96,0.5,0.09555760771036148,0.006998140539295162,3,0.5313949982325236,0.019538323833110053,3,0.4921964903672536,0.012146427683395503,3
zero,128,0.1,0.13884046177069345,0.01946896386875608,3,0.5510179996490479,0.011582678655973453,3,0.5102313558260599,0.007105477910203987,3
zero,128,0.25,0.12232770025730133,0.003431868420502678,3,0.553257425626119,0.013080146243439153,3,0.5090003808339437,0.00753976987661458,3
zero,128,0.5,0.10373072574536006,0.008807035024413426,3,0.5332966446876526,0.006869432069732166,3,0.49651679396629333,0.0036137952967652603,3
