dataset,split_id,corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
LUNG,0,gaussian,0,0.1,0.5838259855906168,4.914417721296936e-05,3,1.674881100654602,0.0005286013045972658,3,0.9538893302281698,0.00032437499548974234,3
LUNG,0,gaussian,0,0.25,0.5803235173225403,0.0008080810417873865,3,1.6765040556589763,0.00035287621685100857,3,0.9547372659047445,0.0002824417293175709,3
LUNG,0,gaussian,0,0.5,0.5742700894673666,0.0008065538839526253,3,1.6806976795196533,0.001192056184441828,3,0.9565127094586691,0.0003444564763975861,3
LUNG,0,gaussian,32,0.1,0.5836560527483622,0.00028987530229291546,3,1.6742914120356243,0.0004449255187897586,3,0.9536406795183817,0.0003088513025967005,3
LUNG,0,gaussian,32,0.25,0.5799153447151184,0.0010160609160946986,3,1.676897128423055,0.0023142718855630995,3,0.9547654787699381,0.0010296620945072334,3
LUNG,0,gaussian,32,0.5,0.5744688113530477,0.0007706008008864256,3,1.6798898379007976,0.002093522933914634,3,0.9563015103340149,0.0008028492382822522,3
LUNG,0,gaussian,64,0.1,0.5836848020553589,0.0009306453684105973,3,1.674738844235738,0.0015343674731414327,3,0.9537301063537598,0.0008447565320465765,3
LUNG,0,gaussian,64,0.25,0.5791834990183512,0.0008519515738002416,3,1.6776738166809082,0.0005810780853150959,3,0.9551583925882975,0.00043684589523678027,3
LUNG,0,gaussian,64,0.5,0.5760011275609335,0.000867235820921012,3,1.6783803304036458,0.001981564053555488,3,0.9557557702064514,0.0007703380733210769,3
LUNG,0,gaussian,96,0.1,0.5825905402501425,0.0008030538221967478,3,1.675821304321289,0.0007929995752209536,3,0.9544598261515299,0.000470018817584022,3
LUNG,0,gaussian,96,0.25,0.5795023838678995,0.0008790795320269363,3,1.678372820218404,0.0011571054485103966,3,0.9553194244702657,0.0007387925255134132,3
LUNG,0,gaussian,96,0.5,0.5744197169939677,0.0016989010241236502,3,1.680627663930257,0.0013325602644139705,3,0.9563685258229574,0.0010069984876698186,3
LUNG,0,gaussian,128,0.1,0.5832257072130839,0.0015977433835440966,3,1.6753745873769124,0.0018141921035734342,3,0.9538167119026184,0.0007457401658022185,3
LUNG,0,gaussian,128,0.25,0.5791576306025187,0.001602038790199701,3,1.6780519485473633,0.0018105076771435039,3,0.9554389913876852,0.001304984730212058,3
LUNG,0,gaussian,128,0.5,0.5740793744723002,0.003944284829706254,3,1.679612676302592,0.0030725752791565756,3,0.9562834699948629,0.0020528162900226425,3
LUNG,0,none,0,0.0,0.5854875445365906,,1,1.674307942390442,,1,0.9535181522369385,,1
LUNG,1,gaussian,0,0.1,0.5606199105580648,0.00025856916263842535,3,1.4239169359207153,0.0002567046596724642,3,0.9072179396947225,6.900460728368476e-05,3
LUNG,1,gaussian,0,0.25,0.5592353741327921,0.0001949637074188836,3,1.4262922604878743,0.0008499268332265165,3,0.9082159996032715,0.00042813688984203195,3
LUNG,1,gaussian,0,0.5,0.5557888547579447,0.0005894883618335509,3,1.4304618835449219,0.000538090569541346,3,0.9097105065981547,0.00021112786648520962,3
LUNG,1,gaussian,32,0.1,0.5604609449704488,0.000301000979463704,3,1.4238285621007283,0.00045949545521748586,3,0.9070930679639181,0.0002486986667007433,3
LUNG,1,gaussian,32,0.25,0.5586533943812052,0.001029939725484782,3,1.4262068271636963,0.001432831869117663,3,0.9081132014592489,0.0005878885169540222,3
LUNG,1,gaussian,32,0.5,0.5559044679005941,0.0009240525713946548,3,1.429644227027893,0.0012605661513638562,3,0.9093275268872579,0.0005932941080784838,3
LUNG,1,gaussian,64,0.1,0.5604180892308553,0.0005335766596669991,3,1.4240813255310059,0.0006843958553784019,3,0.9071896473566691,0.00030137174292029493,3
LUNG,1,gaussian,64,0.25,0.5583895842234293,0.000652924901730848,3,1.4271613756815593,0.000969936158465978,3,0.9085125923156738,0.00034337086886773656,3
LUNG,1,gaussian,64,0.5,0.5550636053085327,0.0009489726813339287,3,1.431431531906128,0.0013673836122824919,3,0.910164475440979,0.0008920117317052981,3
LUNG,1,gaussian,96,0.1,0.5602033933003744,0.00041938535559597284,3,1.424839735031128,0.00041171756400498483,3,0.9078206817309061,0.00032845954025292174,3
LUNG,1,gaussian,96,0.25,0.5584092537562052,0.0003557047462780099,3,1.427234172821045,0.0002814781498161488,3,0.9084059198697408,9.198729682877365e-05,3
LUNG,1,gaussian,96,0.5,0.5550526976585388,0.0010124683573821695,3,1.4311848481496174,0.001343186570727606,3,0.9101937810579935,0.0008810456899686744,3
LUNG,1,gaussian,128,0.1,0.5603428483009338,0.00017472821788004582,3,1.4242371718088787,0.0005086210059346878,3,0.907279888788859,0.0002241095038877545,3
LUNG,1,gaussian,128,0.25,0.5587393641471863,0.0005111834414663628,3,1.425694187482198,0.0005935291579285899,3,0.9076545834541321,0.0003173967146475838,3
LUNG,1,gaussian,128,0.5,0.5557254552841187,0.0012076824323924385,3,1.430390477180481,0.002177106575620084,3,0.9096341133117676,0.001095886640165021,3
LUNG,1,none,0,0.0,0.5618596076965332,,1,1.4221009016036987,,1,0.9065014719963074,,1
