corruption_type,radius,mask_ratio,PCC_mean,PCC_std,PCC_count,MSE_mean,MSE_std,MSE_count,MAE_mean,MAE_std,MAE_count
none,0,0.0,0.5623291730880737,,1,1.3950562477111816,,1,0.8929133415222168,,1
zero,0,0.1,0.5035632054011027,0.0003798291400851807,3,1.4504580895105998,0.000919879549416545,3,0.9100916385650635,0.0009228698598229037,3
zero,0,0.25,0.4302329321702321,0.002917557530317853,3,1.5311176776885986,0.0014295622736165484,3,0.9354722499847412,0.0006429851738906506,3
zero,0,0.5,0.3210235635439555,0.00042422136748166236,3,1.6583694616953533,0.0028418307219904826,3,0.9734712441762289,0.0011771569855506636,3
zero,32,0.1,0.5053059458732605,0.004392769920048284,3,1.4494409958521526,0.004934993626943119,3,0.9097323218981425,0.0014251011075796047,3
zero,32,0.25,0.41812721888224286,0.00482908422381366,3,1.5444579521814983,0.0035010876844196077,3,0.9380751649538676,0.0020850972668591053,3
zero,32,0.5,0.336779644091924,0.014322367227057807,3,1.6504100958506267,0.012890955959756286,3,0.9700750509897867,0.005993707351543028,3
zero,64,0.1,0.49490384260813397,0.023557245927962253,3,1.4615428447723389,0.015254502490160644,3,0.9137996633847555,0.0034001634750039722,3
zero,64,0.25,0.42135099569956463,0.01589898113273588,3,1.5416940450668335,0.014000999211847227,3,0.9374074339866638,0.0053201156376182545,3
zero,64,0.5,0.31612693270047504,0.002945991529044681,3,1.6633973916371663,0.0016942341557432338,3,0.9750468730926514,0.004110405318672082,3
zero,96,0.1,0.5065322120984396,0.0042392876290323666,3,1.4554675817489624,0.008347927427509696,3,0.9125173886617025,0.004207580466889599,3
zero,96,0.25,0.4152191678682963,0.010040353447023436,3,1.5468056201934814,0.01568141242079828,3,0.939317544301351,0.006470502537297106,3
zero,96,0.5,0.3200385272502899,0.008973641287259327,3,1.6667068401972454,0.009111880221571363,3,0.9764320651690165,0.006901645961581505,3
zero,128,0.1,0.48001810908317566,0.0036098194350898233,3,1.4711811542510986,0.004339543017012912,3,0.9157621264457703,0.0004978698983105728,3
zero,128,0.25,0.3964036206404368,0.011669897155310182,3,1.5551828940709431,0.013069270885106728,3,0.9403250416119894,0.003345006513325111,3
zero,128,0.5,0.33792858322461444,0.007092669786036891,3,1.6489442189534504,0.00884606127439253,3,0.9685153961181641,0.002863626078792995,3
