slide,corruption_type,radius,mask_ratio,seed_idx,PCC,MSE,MAE
NCBI643,none,0,0.0,-1,0.08579538017511368,0.563782811164856,0.5541942119598389
NCBI643,zero,0,0.1,0,0.0799267366528511,0.5625734925270081,0.5522659420967102
NCBI643,zero,0,0.1,1,0.07240761071443558,0.5643162131309509,0.553127646446228
NCBI643,zero,0,0.1,2,0.082763671875,0.5612501502037048,0.5517802834510803
NCBI643,zero,0,0.25,0,0.0642509013414383,0.559709370136261,0.5482850074768066
NCBI643,zero,0,0.25,1,0.07221180200576782,0.5594573020935059,0.5473615527153015
NCBI643,zero,0,0.25,2,0.0759819895029068,0.5584646463394165,0.546893298625946
NCBI643,zero,0,0.5,0,0.05900091677904129,0.560478687286377,0.5378227829933167
NCBI643,zero,0,0.5,1,0.045816972851753235,0.5626492500305176,0.5393441915512085
NCBI643,zero,0,0.5,2,0.04845867678523064,0.5627145171165466,0.5392962694168091
NCBI643,zero,32,0.1,0,0.06431575119495392,0.5692703127861023,0.5526915788650513
NCBI643,zero,32,0.1,1,0.07785334438085556,0.5699533224105835,0.5529332756996155
NCBI643,zero,32,0.1,2,0.08065873384475708,0.5642865300178528,0.550482451915741
NCBI643,zero,32,0.25,0,0.0810941532254219,0.5695579648017883,0.5466495752334595
NCBI643,zero,32,0.25,1,0.05663396418094635,0.5733395218849182,0.5483211874961853
NCBI643,zero,32,0.25,2,0.07822874188423157,0.5691251754760742,0.5454362034797668
NCBI643,zero,32,0.5,0,0.015049953013658524,0.5970829129219055,0.5438172221183777
NCBI643,zero,32,0.5,1,0.020836971700191498,0.5971330404281616,0.5445795655250549
NCBI643,zero,32,0.5,2,0.0547160878777504,0.5855743288993835,0.5404984354972839
NCBI643,zero,64,0.1,0,0.05322696641087532,0.5750398635864258,0.5538952946662903
NCBI643,zero,64,0.1,1,0.04364524036645889,0.5770285725593567,0.5553258657455444
NCBI643,zero,64,0.1,2,0.06938044726848602,0.5658465027809143,0.5501518845558167
NCBI643,zero,64,0.25,0,0.06737601011991501,0.5707865357398987,0.5445126891136169
NCBI643,zero,64,0.25,1,0.04413347318768501,0.5872589945793152,0.5523098111152649
NCBI643,zero,64,0.25,2,0.038018032908439636,0.5828749537467957,0.550451397895813
NCBI643,zero,64,0.5,0,0.03410720452666283,0.598444402217865,0.5429462790489197
NCBI643,zero,64,0.5,1,0.023908548057079315,0.5914340615272522,0.5408746004104614
NCBI643,zero,64,0.5,2,0.04430488497018814,0.5987138152122498,0.5433400869369507
NCBI643,zero,96,0.1,0,0.051829129457473755,0.5756906270980835,0.5534605383872986
NCBI643,zero,96,0.1,1,0.09751597046852112,0.5615642070770264,0.5494073629379272
NCBI643,zero,96,0.1,2,0.045929938554763794,0.576744794845581,0.5542635321617126
NCBI643,zero,96,0.25,0,0.05638209730386734,0.5698832869529724,0.5449126958847046
NCBI643,zero,96,0.25,1,0.05903366580605507,0.573594331741333,0.545033872127533
NCBI643,zero,96,0.25,2,0.03806694597005844,0.584684431552887,0.5498027205467224
NCBI643,zero,96,0.5,0,0.04708501324057579,0.5981798768043518,0.5421313047409058
NCBI643,zero,96,0.5,1,0.06680669635534286,0.5820460319519043,0.5374704003334045
NCBI643,zero,96,0.5,2,0.02770327590405941,0.6014456748962402,0.5419883728027344
NCBI643,zero,128,0.1,0,0.09438513964414597,0.5679494142532349,0.5504745244979858
NCBI643,zero,128,0.1,1,0.08525606244802475,0.5662572383880615,0.5498064160346985
NCBI643,zero,128,0.1,2,0.060883354395627975,0.5727512240409851,0.5527750849723816
NCBI643,zero,128,0.25,0,0.03873542323708534,0.5833348631858826,0.5485866665840149
NCBI643,zero,128,0.25,1,0.037183698266744614,0.5837334990501404,0.5496094822883606
NCBI643,zero,128,0.25,2,0.049179304391145706,0.5825305581092834,0.5516629815101624
NCBI643,zero,128,0.5,0,0.0777081698179245,0.5885360836982727,0.5388652086257935
NCBI643,zero,128,0.5,1,0.06317564845085144,0.5910245180130005,0.5397332310676575
NCBI643,zero,128,0.5,2,0.07246406376361847,0.5864344239234924,0.5366200804710388
